WavwNum_Goethite,value_Goethite
591.9111,0.323818
592.3932,0.072437003
592.8754,0.17688
593.3575,0.380226
593.8396,0.527542
594.3217,0.504097
594.8038,0.299889
595.2859,0.073348999
595.7681,0.030872
596.2502,0.06498
596.7323,0.17741
597.2144,0.408932
597.6965,0.573116
598.1786,0.342262
598.6608,0.0046270001
599.1429,0.089511998
599.625,0.448448
600.1071,0.973663
600.5892,1.282238
601.0714,1.402622
601.5535,1.394955
602.0356,1.031963
602.5177,0.801548
602.9998,0.873722
603.4819,1.223232
603.9641,1.383984
604.4462,1.255512
604.9283,1.172665
605.4104,1.414421
605.8925,1.980381
606.3746,2.224506
606.8568,2.11681
607.3389,1.853367
607.821,1.503174
608.3031,1.154957
608.7852,1.078426
609.2673,1.405983
609.7495,1.821449
610.2316,2.133339
610.7137,2.316677
611.1958,2.329487
611.6779,1.884228
612.16,1.53714
612.6422,1.582409
613.1243,1.941967
613.6064,2.202991
614.0885,2.191795
614.5706,2.203796
615.0527,2.375889
615.5349,2.727917
616.017,2.852482
616.4991,2.685833
616.9812,2.443172
617.4633,2.30582
617.9454,2.263367
618.4276,2.06535
618.9097,1.637074
619.3918,1.31662
619.8739,1.71236
620.356,2.516327
620.8381,2.957073
621.3203,2.641357
621.8024,2.169239
622.2845,1.937042
622.7666,1.895561
623.2487,1.936497
623.7308,2.148354
624.213,2.308777
624.6951,2.281181
625.1772,2.086853
625.6593,2.026558
626.1414,2.171268
626.6235,2.365631
627.1057,2.584156
627.5878,2.844223
628.0699,2.859653
628.552,2.540787
629.0341,2.266026
629.5162,2.472
629.9984,3.056664
630.4805,3.491627
630.9626,3.718517
631.4447,3.754974
631.9268,3.452442
632.4089,2.99868
632.8911,2.752048
633.3732,3.016167
633.8553,3.280708
634.3374,3.144455
634.8195,2.799606
635.3016,2.670376
635.7838,3.033249
636.2659,3.449074
636.748,3.860069
637.2301,4.248127
637.7122,4.378113
638.1943,4.048359
638.6765,3.832001
639.1586,4.158714
639.6407,5.021622
640.1228,5.212273
640.6049,4.630371
641.087,3.955841
641.5692,3.767742
642.0513,3.995529
642.5334,4.543114
643.0155,5.467346
643.4976,6.268383
643.9797,6.421524
644.4619,6.207748
644.944,6.011799
645.4261,5.853909
645.9082,5.880116
646.3903,6.245522
646.8724,6.821484
647.3546,7.322235
647.8367,7.702953
648.3188,8.073463
648.8009,8.492809
649.283,8.91758
649.7651,9.117001
650.2473,9.039577
650.7294,9.002518
651.2115,9.121746
651.6936,9.41362
652.1757,10.11924
652.6578,11.24671
653.14,12.08656
653.6221,11.69867
654.1042,10.88976
654.5863,10.68242
655.0684,11.2659
655.5505,12.07251
656.0327,13.03061
656.5148,13.96254
656.9969,14.69051
657.479,15.03403
657.9611,15.40068
658.4432,15.78143
658.9254,16.20543
659.4075,16.69739
659.8896,17.22773
660.3717,17.97419
660.8538,19.08803
661.3359,20.3092
661.8181,20.92704
662.3002,21.00613
662.7823,21.1839
663.2644,21.79861
663.7465,22.65865
664.2286,23.54299
664.7108,24.4434
665.1929,25.3584
665.675,26.3128
666.1571,27.2584
666.6392,28.14124
667.1213,28.94653
667.6035,29.82867
668.0856,31.00478
668.5677,32.10106
669.0498,32.90023
669.5319,33.28468
670.014,33.80947
670.4962,34.51046
670.9783,35.2801
671.4604,35.96368
671.9425,36.58556
672.4246,37.40627
672.9067,38.49068
673.3889,39.64752
673.871,40.72005
674.3531,41.68791
674.8352,42.48982
675.3173,43.01313
675.7994,43.49088
676.2816,44.05933
676.7637,44.66759
677.2458,45.20988
677.7279,45.47597
678.21,45.8924
678.6921,46.67279
679.1743,47.7122
679.6564,48.42457
680.1385,48.82744
680.6206,48.85006
681.1027,48.21241
681.5848,47.15508
682.067,47.07062
682.5491,47.95408
683.0312,48.81123
683.5133,48.84357
683.9954,48.41583
684.4775,47.995
684.9597,47.66756
685.4418,47.32819
685.9239,47.01513
686.406,46.63767
686.8881,46.08317
687.3702,45.2641
687.8524,44.46016
688.3345,43.72479
688.8166,43.00383
689.2987,42.24502
689.7808,41.46526
690.2629,40.53407
690.7451,39.4101
691.2272,38.16057
691.7093,36.85028
692.1914,35.50358
692.6735,34.11686
693.1556,32.57901
693.6378,31.18875
694.1199,30.54802
694.602,30.31548
695.0841,29.69966
695.5662,27.93951
696.0483,26.14775
696.5305,24.70718
697.0126,23.61497
697.4947,22.77163
697.9768,22.39958
698.4589,21.97028
698.941,21.30518
699.4232,20.41285
699.9053,19.43958
700.3874,18.35202
700.8695,17.35484
701.3516,16.61255
701.8337,16.06392
702.3159,15.56502
702.798,15.10794
703.2801,14.65882
703.7622,14.25025
704.2443,13.79755
704.7264,13.1795
705.2086,12.31762
705.6907,11.5648
706.1728,11.03486
706.6549,10.65266
707.137,10.36352
707.6191,10.28588
708.1013,9.993797
708.5834,9.413994
709.0655,8.722084
709.5476,8.128483
710.0297,7.629463
710.5118,7.231197
710.994,6.953667
711.4761,6.727261
711.9582,6.461559
712.4403,6.180523
712.9224,5.929996
713.4045,5.758396
713.8867,5.581158
714.3688,5.27496
714.8509,4.942287
715.333,4.799286
715.8151,5.2472
716.2972,5.445915
716.7794,5.145985
717.2615,4.497871
717.7436,4.041691
718.2257,3.788315
718.7078,3.677723
719.1899,3.763672
719.6721,3.938438
720.1542,3.852322
720.6363,3.540661
721.1184,3.265705
721.6005,3.360901
722.0826,3.458157
722.5648,3.104568
723.0469,2.321133
723.529,1.726547
724.0111,1.62265
724.4932,1.700256
724.9753,1.833481
725.4575,2.034634
725.9396,2.160641
726.4217,2.19215
726.9038,2.18644
727.3859,2.177475
727.868,2.166195
728.3502,2.195286
728.8323,2.281094
729.3144,2.26342
729.7965,1.875286
730.2786,1.32225
730.7607,0.910305
731.2429,0.699596
731.725,0.589172
732.2071,0.540829
732.6892,0.55817
733.1713,0.645161
733.6534,0.950783
734.1356,1.112228
734.6177,1.098602
735.0998,0.968182
735.5819,0.763603
736.064,0.471771
736.5461,0.264374
737.0283,0.190311
737.5104,0.161552
737.9925,0.033943001
738.4746,0.151047
738.9567,0.292446
739.4388,0.351925
739.921,0.393417
740.4031,0.522202
740.8852,0.646523
741.3673,0.592999
741.8494,0.063460998
742.3315,0.430984
742.8137,0.181252
743.2958,0.41901
743.7779,0.606186
744.26,0.274353
744.7421,0.001991
