WavwNum_Dolomite,value_Dolomite
613.0395,0.88208
613.5216,1.244839
614.0037,1.832306
614.4858,2.083153
614.968,1.873909
615.4501,1.494492
615.9322,1.216873
616.4143,1.029678
616.8964,1.247047
617.3785,2.139542
617.8607,3.067589
618.3428,2.645477
618.8249,1.192646
619.307,0.045391001
619.7891,0.048255999
620.2712,0.373135
620.7534,1.028046
621.2355,1.813789
621.7176,2.222881
622.1997,1.559563
622.6818,0.817913
623.1639,0.642757
623.6461,1.20504
624.1282,1.496178
624.6103,1.295811
625.0924,0.901867
625.5745,0.441921
626.0566,0.255173
626.5388,0.505138
627.0209,0.181416
627.503,0.401489
627.9851,0.789787
628.4672,0.99712
628.9493,1.481384
629.4315,2.6063
629.9136,3.587151
630.3957,2.839729
630.8778,0.877827
631.3599,0.753925
631.842,1.123657
632.3242,1.025295
632.8063,0.953358
633.2884,0.912083
633.7705,0.8629
634.2526,1.041889
634.7347,0.994534
635.2169,0.245045
635.699,1.498146
636.1811,2.066673
636.6632,0.696877
637.1453,0.886044
637.6274,1.373497
638.1096,0.58144
638.5917,0.024498001
639.0738,0.384823
639.5559,0.537464
640.038,0.424534
640.5201,0.119553
641.0023,0.038067002
641.4844,0.084259003
641.9665,0.287449
642.4486,0.300602
642.9307,0.235947
643.4128,0.336094
643.895,1.225441
644.3771,1.79829
644.8592,1.164154
645.3413,0.376438
645.8234,1.219154
646.3055,0.297379
646.7877,0.528728
647.2698,0.552399
647.7519,0.270725
648.234,0.505142
648.7161,0.003208
649.1982,0.674309
649.6804,1.209698
650.1625,1.581852
650.6446,1.342579
651.1267,0.376617
651.6088,0.443405
652.0909,0.242256
652.5731,1.610981
653.0552,2.092587
653.5373,0.899372
654.0194,0.247765
654.5015,0.19257
654.9836,0.552399
655.4658,1.230999
655.9479,1.90551
656.43,2.195641
656.9121,1.656044
657.3942,0.69363
657.8763,0.475544
658.3585,1.363201
658.8406,2.140266
659.3227,2.382332
659.8048,2.204571
660.2869,2.169304
660.769,2.277519
661.2512,2.482182
661.7333,2.847572
662.2154,3.257378
662.6975,3.457287
663.1796,3.443226
663.6617,3.404545
664.1439,3.502033
664.626,3.615967
665.1081,3.679527
665.5902,3.747139
666.0723,3.534824
666.5544,2.424282
667.0366,1.329243
667.5187,1.121616
668.0008,2.416267
668.4829,3.333954
668.965,3.730938
669.4471,3.751709
669.9293,3.496803
670.4114,2.960526
670.8935,2.68536
671.3756,2.898335
671.8577,3.316635
672.3398,3.35881
672.822,3.182243
673.3041,3.3214
673.7862,4.628044
674.2683,5.85004
674.7504,5.836624
675.2325,4.839596
675.7147,4.174286
676.1968,4.55489
676.6789,5.062229
677.161,5.323006
677.6431,5.327789
678.1252,5.196934
678.6074,4.714855
679.0895,4.487381
679.5716,5.049423
680.0537,6.405434
680.5358,7.426788
681.0179,8.090897
681.5001,8.421127
681.9822,8.10881
682.4643,7.530167
682.9464,7.593647
683.4285,8.658474
683.9106,9.5215
684.3928,8.871471
684.8749,7.7687
685.357,7.441963
685.8391,8.84222
686.3212,10.21308
686.8033,11.39115
687.2855,12.3575
687.7676,13.03617
688.2497,13.29659
688.7318,13.63364
689.2139,14.153
689.696,14.74694
690.1782,14.94488
690.6603,14.77702
691.1424,14.85648
691.6245,15.61029
