WavwNum_Pyrite,value_Pyrite
628.9248,0.022293
629.4069,0.106557
629.889,0.223923
630.3712,0.261725
630.8533,0.245869
631.3354,0.202692
631.8175,0.140786
632.2996,0.115281
632.7817,0.2033
633.2639,0.321419
633.746,0.40866
634.2281,0.457023
634.7102,0.444697
635.1923,0.257051
635.6744,0.073876001
636.1566,0.035310999
636.6387,0.280875
637.1208,0.440444
637.6029,0.489979
638.085,0.453778
638.5671,0.343296
639.0493,0.13713
639.5314,0.0086970003
640.0135,0.0029130001
640.4956,0.068773001
640.9777,0.111732
641.4598,0.13113
641.942,0.155813
642.4241,0.205638
642.9062,0.258811
643.3883,0.28385
643.8704,0.297648
644.3525,0.33384
644.8347,0.461701
645.3168,0.551818
645.7989,0.516466
646.281,0.328102
646.7631,0.219084
647.2452,0.309196
647.7274,0.418023
648.2095,0.438705
648.6916,0.313832
649.1737,0.298767
649.6558,0.442712
650.1379,0.596727
650.6201,0.553756
651.1022,0.329154
651.5843,0.204618
652.0664,0.254358
652.5485,0.361205
653.0306,0.348947
653.5128,0.264496
653.9949,0.217484
654.477,0.328706
654.9591,0.41687
655.4412,0.308386
655.9233,0.078628004
656.4055,0.050941002
656.8876,0.061646
657.3697,0.208834
657.8518,0.343337
658.3339,0.461951
658.816,0.516823
659.2982,0.486818
659.7803,0.4299
660.2624,0.373514
660.7445,0.320398
661.2266,0.274142
661.7087,0.231106
662.1909,0.222014
662.673,0.302736
663.1551,0.434865
663.6372,0.542802
664.1193,0.622479
664.6014,0.637428
665.0836,0.482121
665.5657,0.276681
666.0478,0.169856
666.5299,0.307625
667.012,0.408473
667.4941,0.375162
667.9763,0.270194
668.4584,0.206337
668.9405,0.190929
669.4226,0.202616
669.9047,0.23845
670.3868,0.297399
670.869,0.391179
671.3511,0.524232
671.8332,0.621667
672.3153,0.65585
672.7974,0.626809
673.2795,0.475991
673.7617,0.230587
674.2438,0.081557997
674.7259,0.277146
675.208,0.539654
675.6901,0.612939
676.1722,0.461398
676.6544,0.338011
677.1365,0.373817
677.6186,0.426052
678.1007,0.389298
