WavwNum_Magnetite,value_Magnetite
791.0289,0.711751
791.511,0.655115
791.9931,0.517882
792.4752,0.555641
792.9573,0.796457
793.4395,0.951973
793.9216,0.876467
794.4037,0.703746
794.8858,0.692007
795.3679,0.802991
795.85,0.905387
796.3322,0.935522
796.8143,0.933149
797.2964,0.900007
797.7785,0.849521
798.2606,0.830084
798.7427,0.862598
799.2249,0.898435
799.707,0.92485
800.1891,0.947504
800.6712,0.996894
801.1533,1.074
801.6354,1.090589
802.1176,0.977895
802.5997,0.824785
803.0818,0.73309
803.5639,0.6959
804.046,0.70575
804.5281,0.841371
805.0103,0.959935
805.4924,0.986399
805.9745,0.932866
806.4566,0.885101
806.9387,0.827126
807.4208,0.817674
807.903,0.893024
808.3851,1.011835
808.8672,1.052618
809.3493,1.024895
809.8314,0.958455
810.3135,0.828122
810.7957,0.710086
811.2778,0.669597
811.7599,0.692351
812.242,0.75445
812.7241,0.982522
813.2062,1.103622
813.6884,0.945541
814.1705,0.640547
814.6526,0.577888
815.1347,0.821311
815.6168,1.004364
816.0989,1.011262
816.5811,0.904278
817.0632,0.714028
817.5453,0.485908
818.0274,0.407452
818.5095,0.762211
818.9916,1.097129
819.4738,1.043609
819.9559,0.744943
820.438,0.569124
820.9201,0.719569
821.4022,0.812069
821.8843,0.758554
822.3665,0.620766
822.8486,0.541429
823.3307,0.520613
823.8128,0.561393
824.2949,0.707151
824.777,0.871324
825.2592,0.911041
825.7413,0.851982
826.2234,0.765312
826.7055,0.613328
827.1876,0.515443
827.6697,0.548021
828.1519,0.662007
828.634,0.74175
829.1161,0.770824
829.5982,0.802331
830.0803,0.848709
