WavwNum_Pyrolusite,value_Pyrolusite
601.4688,0.394409
601.9509,0.126307
602.433,0.223106
602.9151,0.78709
603.3972,1.243565
603.8793,1.176376
604.3615,0.499279
604.8436,0.312933
605.3257,0.911297
605.8078,1.653049
606.2899,1.296391
606.772,0.097805001
607.2542,0.706057
607.7363,0.456715
608.2184,0.197718
608.7005,0.585035
609.1826,0.747366
609.6647,0.816587
610.1469,0.81461
610.629,0.779577
611.1111,0.668188
611.5932,0.470917
612.0753,0.497334
612.5574,1.161148
613.0396,1.790857
613.5217,1.988766
614.0038,1.557489
614.4859,1.195442
614.968,0.892487
615.4501,0.671854
615.9323,0.526651
616.4144,0.447193
616.8965,0.669174
617.3786,1.361408
617.8607,2.14081
618.3428,2.311815
618.825,1.972967
619.3071,1.535158
619.7892,0.970945
620.2713,0.555798
620.7534,0.643663
621.2355,1.156054
621.7177,1.726543
622.1998,2.342079
622.6819,2.831894
623.164,3.072353
623.6461,3.019335
624.1282,2.960657
624.6104,2.897425
625.0925,2.860804
625.5746,2.874136
626.0567,2.956337
626.5388,3.039139
627.0209,3.129715
627.5031,3.203596
627.9852,3.196892
628.4673,3.116453
628.9494,3.103748
629.4315,3.17989
629.9136,3.361536
630.3958,3.7467
630.8779,4.268278
631.36,4.720858
631.8421,5.064217
632.3242,5.252924
632.8063,5.10747
633.2885,4.717884
633.7706,4.559601
634.2527,4.936668
634.7348,5.466518
635.2169,6.018017
635.699,6.606342
636.1812,7.031778
636.6633,7.21402
637.1454,7.335461
637.6275,7.496563
638.1096,7.684555
638.5917,8.035164
639.0739,8.595257
639.556,9.206015
640.0381,9.671938
640.5202,10.02033
641.0023,10.35596
641.4844,10.70025
641.9666,11.06186
642.4487,11.41299
642.9308,11.79957
643.4129,12.31361
643.895,13.07499
644.3771,13.89974
644.8593,14.79059
645.3414,15.70111
645.8235,16.44538
646.3056,16.93119
646.7877,17.28231
647.2698,17.41729
647.752,17.28271
648.2341,17.67062
648.7162,18.75411
649.1983,20.03541
649.6804,21.23652
650.1625,22.31588
650.6447,22.94224
651.1268,23.05854
651.6089,23.16073
652.091,23.82125
652.5731,24.80692
653.0552,25.70895
653.5374,26.39274
654.0195,27.02726
654.5016,27.96879
654.9837,28.97843
655.4658,29.65804
655.9479,29.34874
656.4301,29.30076
656.9122,29.99454
657.3943,31.12143
657.8764,31.82279
658.3585,31.94157
658.8406,32.03425
659.3228,32.30335
659.8049,32.69636
660.287,32.71642
660.7691,32.34056
661.2512,31.93254
661.7333,31.7153
662.2155,31.66989
662.6976,31.74565
663.1797,31.91995
663.6618,32.02887
664.1439,32.0227
664.626,31.83862
665.1082,31.32624
665.5903,30.42069
666.0724,29.63661
666.5545,29.10787
667.0366,28.72766
667.5187,28.38375
668.0009,28.19231
668.483,27.86817
668.9651,27.38483
669.4472,26.78264
669.9293,26.0611
670.4114,25.21749
670.8936,24.54425
671.3757,24.23637
671.8578,23.95327
672.3399,22.9131
672.822,21.35807
673.3041,20.13364
673.7863,19.98721
674.2684,20.04496
674.7505,19.66383
675.2326,18.91813
675.7147,18.24398
676.1968,17.83807
676.679,17.46427
677.1611,17.0648
677.6432,16.64273
678.1253,16.03035
678.6074,15.1061
679.0895,14.23451
679.5717,13.75177
680.0538,13.65387
680.5359,13.23261
681.018,12.43616
681.5001,11.63903
681.9822,11.29288
682.4644,11.17563
682.9465,10.80197
683.4286,9.999043
683.9107,9.277506
684.3928,8.925364
684.8749,8.894402
685.3571,8.739904
685.8392,8.469124
686.3213,7.712683
686.8034,7.599033
687.2855,7.237381
687.7676,6.872179
688.2498,6.86854
688.7319,6.21805
689.214,6.222569
689.6961,5.975208
690.1782,5.853121
690.6603,5.481497
691.1425,5.195833
691.6246,5.188808
692.1067,5.046066
692.5888,4.672319
693.0709,4.598904
693.553,4.008026
694.0352,3.88405
694.5173,3.965517
694.9994,3.63895
695.4815,3.604506
695.9636,3.46826
696.4457,2.845156
696.9279,3.087511
697.41,2.972073
697.8921,2.475544
698.3742,2.709091
698.8563,2.278833
699.3384,2.531397
699.8206,2.197998
700.3027,1.47296
700.7848,1.14711
701.2669,1.348116
701.749,1.601555
702.2311,1.358002
702.7133,0.918806
703.1954,0.721437
703.6775,1.001768
704.1596,1.270077
704.6417,1.371683
705.1238,1.341467
705.606,1.21483
706.0881,0.849508
706.5702,0.641148
707.0523,0.689932
707.5344,0.869055
708.0165,0.925203
708.4987,0.854158
708.9808,0.727894
709.4629,0.574673
709.945,0.407158
710.4271,0.109406
710.9092,0.214821
711.3914,0.190706
711.8735,0.906376
712.3556,1.971483
712.8377,2.110415
713.3198,1.483398
713.8019,0.945547
714.2841,0.889761
714.7662,0.797415
715.2483,0.373812
715.7304,0.3566
716.2125,0.586918
716.6946,0.161594
717.1768,0.33287
