WavwNum_Chamosite,value_Chamosite
401.2293,0.369198
401.7115,0.118151
402.1936,0.0068760002
402.6757,0.053612001
403.1578,0.035330001
403.6399,0.090016998
404.122,0.395107
404.6042,0.269223
405.0863,0.428618
405.5684,0.131939
406.0505,0.081997998
406.5326,0.174931
407.0147,0.282884
407.4969,0.307168
407.979,0.675428
408.4611,0.808495
408.9432,0.5101
409.4254,0.27024
409.9075,0.254679
410.3896,0.213967
410.8717,0.299195
411.3538,0.022182999
411.8359,0.089318998
412.3181,0.22777
412.8002,0.076739997
413.2823,0.346282
413.7644,0.583176
414.2465,0.792885
414.7286,0.96646
415.2108,1.10032
415.6929,1.193434
416.175,1.230186
416.6571,1.222729
417.1392,1.144017
417.6213,0.942831
418.1035,0.328269
418.5856,0.116661
419.0677,0.040573001
419.5498,0.680027
420.0319,1.347526
420.514,2.086369
420.9962,2.641573
421.4783,2.786135
421.9604,1.874517
422.4425,2.63886
422.9246,3.196928
423.4067,3.559879
423.8889,3.143316
424.371,3.733236
424.8531,3.919708
425.3352,4.089616
425.8173,4.821065
426.2994,4.517619
426.7816,4.633899
427.2637,5.069229
427.7458,5.298328
428.2279,5.332274
428.71,4.588054
429.1921,4.870182
429.6743,4.746022
430.1564,4.609653
430.6385,5.012084
431.1206,4.379621
431.6028,4.792341
432.0849,4.808249
432.567,5.011427
433.0491,4.811819
433.5312,4.712204
434.0133,4.07746
434.4955,2.904965
434.9776,1.955838
435.4597,1.475587
435.9418,1.261262
436.4239,0.982452
436.906,0.649135
437.3882,0.426021
437.8703,0.57186
438.3524,0.870313
438.8345,0.999267
439.3166,0.907696
439.7987,0.75957
440.2809,0.698683
440.763,0.662729
441.2451,0.556167
441.7272,0.197029
442.2093,0.196915
442.6914,0.20665
443.1736,0.108709
443.6557,0.367964
444.1378,0.254052
444.6199,0.572588
445.102,0.685107
445.5841,0.0064329999
446.0663,0.32937
446.5484,0.222417
447.0305,0.132916
447.5126,0.639432
447.9947,0.111045
448.4768,0.549415
448.959,0.597375
449.4411,0.833178
449.9232,0.649707
450.4053,0.100828
450.8874,0.546667
451.3695,0.828672
451.8517,0.915617
452.3338,0.248699
452.8159,0.563091
453.298,0.474467
453.7801,0.400859
454.2622,0.89509
454.7444,0.322067
455.2265,1.164057
455.7086,1.577296
456.1907,1.701152
456.6729,1.537785
457.155,1.324113
457.6371,1.445322
458.1192,1.71529
458.6013,1.890855
459.0834,1.821123
459.5656,1.75138
460.0477,1.93618
460.5298,2.318757
461.0119,2.733233
461.494,3.260114
461.9761,3.246046
462.4583,3.938351
462.9404,4.415087
463.4225,4.720019
463.9046,3.964133
464.3867,4.598481
464.8688,4.993114
465.351,5.17903
465.8331,4.563014
466.3152,4.945972
466.7973,4.945084
467.2794,4.954811
467.7615,5.559373
468.2437,5.129528
468.7258,5.693535
469.2079,5.84951
469.69,6.193678
470.1721,6.141875
470.6542,6.235844
471.1364,6.135623
471.6185,6.00156
472.1006,5.841571
472.5827,5.66363
473.0648,5.473266
473.5469,5.306795
474.0291,5.171551
474.5112,4.977056
474.9933,4.611343
475.4754,4.130563
475.9575,3.827954
476.4396,3.727735
476.9218,3.597573
477.4039,3.048087
477.886,2.252331
478.3681,1.63045
478.8503,1.351908
479.3324,1.255569
479.8145,1.248881
480.2966,1.30626
480.7787,1.336708
481.2608,1.277824
481.743,1.184182
482.2251,1.057818
482.7072,0.870916
483.1893,0.818835
483.6714,1.208477
484.1535,1.660964
484.6357,1.795905
485.1178,1.398421
485.5999,0.862109
486.082,0.047036
486.5641,0.257469
487.0462,0.075533003
487.5284,0.400656
