WavwNum_Zoisite,value_Zoisite
328.0825,1348.169
328.5646,1370.577
329.0467,1411.448
329.5288,1484.83
330.011,1551.322
330.4931,1607.426
330.9752,1657.971
331.4573,1711.799
331.9394,1765.069
332.4215,1827.556
332.9037,1906.283
333.3858,2010.318
333.8679,2097.483
334.35,2157.922
334.8321,2209.203
335.3142,2284.354
335.7964,2396.993
336.2785,2502.701
336.7606,2585.279
337.2427,2642.061
337.7248,2702.477
338.2069,2763.525
338.6891,2832.479
339.1712,2924.439
339.6533,3043.439
340.1354,3159.525
340.6175,3263.65
341.0996,3356.853
341.5818,3439.396
342.0639,3510.393
342.546,3573.452
343.0281,3640.785
343.5102,3711.302
343.9923,3752.993
344.4745,3758.21
344.9566,3727.267
345.4387,3658.206
345.9208,3551.58
346.4029,3414.503
346.885,3249.433
347.3672,3058.06
347.8493,2852.758
348.3314,2630.918
348.8135,2402.457
349.2956,2187.315
349.7777,1986.759
350.2599,1794.943
350.7419,1593.35
351.2241,1398.186
351.7062,1244.284
352.1883,1151.042
352.6704,1077.558
353.1525,978.4727
353.6346,861.0161
354.1168,749.2974
354.5989,655.8389
355.081,576.5342
355.5631,510.0112
356.0452,458.7109
356.5273,411.5068
357.0095,357.4731
357.4916,301.313
357.9737,253.9316
358.4558,224.0249
358.9379,201.502
359.42,182.3262
359.9022,167.8906
360.3843,146.5591
360.8664,99.90332
361.3485,46.30469
361.8306,11.50439
362.3127,21.65479
362.7949,35.19922
363.277,34.42871
363.7591,16.75391
364.2412,4.084473
364.7233,7.171387
365.2054,14.78174
365.6876,16.5415
366.1697,4.774902
366.6518,6.266113
367.1339,12.10498
367.616,12.91113
368.0981,19.32764
368.5803,41.43945
369.0624,62.1626
369.5445,70.47021
370.0266,55.93604
370.5087,45.3042
370.9908,42.79883
371.473,45.93604
371.9551,42.74707
372.4372,27.06396
372.9193,14.01025
373.4014,13.59961
373.8835,32.7251
374.3657,40.62256
374.8478,29.74316
375.3299,12.41113
375.812,18.81396
376.2941,55.84033
376.7762,90.24365
377.2584,107.7666
377.7405,108.1714
378.2226,99.34082
378.7047,79.00049
379.1868,54.88428
379.6689,37.81055
380.1511,27.75391
380.6332,15.85693
381.1153,4.072754
381.5974,28.26562
382.0795,39.05615
382.5616,35.60547
383.0438,33.43994
383.5259,52.90576
384.008,86.88428
384.4901,112.8896
384.9722,122.7393
385.4543,123.356
385.9364,119.3203
386.4185,112.2354
386.9007,114.189
387.3828,141.2979
387.8649,180.1909
388.347,211.6479
388.8291,226.3877
389.3112,243.0649
389.7934,277.5186
390.2755,325.2075
390.7576,373.5664
391.2397,419.4072
391.7218,462.4233
392.2039,501.7217
392.6861,535.9087
393.1682,571.063
393.6503,615.3345
394.1324,660.8169
394.6145,696.0503
395.0966,710.2549
395.5788,720.7251
396.0609,733.4541
396.543,749.3154
397.0251,762.8447
397.5072,781.564
397.9893,793.4595
398.4715,787.8613
398.9536,736.8096
399.4357,702.2559
399.9178,697.8301
400.3999,719.5479
400.882,729.1753
401.3642,708.5215
401.8463,698.3428
402.3284,725.6382
402.8105,806.9629
403.2926,879.3784
403.7747,933.4463
404.2569,975.8208
404.739,1025.284
405.2211,1084.301
405.7032,1149.494
406.1853,1223.019
406.6674,1305.19
407.1496,1375.364
407.6317,1431.196
408.1138,1481.419
408.5959,1543.904
409.078,1617.11
409.5602,1675.43
410.0423,1705.34
410.5244,1713.984
411.0065,1711.669
411.4886,1697.964
411.9707,1691.526
412.4529,1718.961
412.935,1766.139
413.4171,1798.379
413.8992,1802.314
414.3813,1795.154
414.8634,1790.387
415.3456,1788.968
415.8277,1794.711
416.3098,1815.497
416.7919,1841.577
417.274,1865.233
417.7561,1885.572
418.2382,1900.326
418.7203,1914.094
419.2025,1920.508
419.6846,1907.876
420.1667,1853.307
420.6488,1796.982
421.1309,1759.202
421.613,1745.129
422.0952,1718.889
422.5773,1657.77
423.0594,1590.731
423.5415,1542.624
424.0236,1519.695
424.5057,1511.037
424.9879,1529.456
425.47,1567.918
425.9521,1572.111
426.4342,1505.088
426.9163,1445.8
427.3984,1445.504
427.8806,1541.541
428.3627,1595.01
428.8448,1582.531
429.3269,1539.257
429.809,1540.975
430.2911,1596.503
430.7733,1661.472
431.2554,1724.194
431.7375,1781.792
432.2196,1812.395
432.7017,1814.137
433.1838,1801.643
433.666,1788.196
434.1481,1771.088
434.6302,1744.738
435.1123,1702.176
435.5944,1656.93
436.0765,1641.109
436.5587,1651.344
437.0408,1649.607
437.5229,1598.759
438.005,1520.753
438.4871,1447.054
438.9692,1384.924
439.4514,1325.595
439.9335,1258.553
440.4156,1188.712
440.8977,1126.574
441.3798,1085.076
441.8619,1047.157
442.3441,1004.901
442.8262,957.9785
443.3083,903.0747
443.7904,830.9492
444.2725,754.4341
444.7546,685.6738
445.2368,616.9512
445.7189,567.6934
446.201,554.2148
446.6831,570.4072
447.1652,567.6738
447.6473,531.6113
448.1295,490.7397
448.6116,457.7124
449.0937,428.2407
449.5758,417.6333
450.0579,434.7456
