WavwNum_Anatase,value_Anatase
427.829,167.7307
428.3111,165.7177
428.7932,158.1265
429.2753,140.3019
429.7574,127.0616
430.2396,120.6817
430.7217,118.7427
431.2038,114.5204
431.6859,106.3892
432.168,100.2495
432.6501,100.5782
433.1323,108.1263
433.6144,108.6536
434.0965,100.6063
434.5786,89.40991
435.0607,83.22382
435.5428,81.77094
436.025,79.34851
436.5071,72.64874
436.9892,63.78925
437.4713,58.33154
437.9534,56.31592
438.4355,55.86902
438.9177,57.88403
439.3998,60.09729
439.8819,57.18518
440.364,43.73553
440.8461,29.84058
441.3282,26.6839
441.8104,32.02948
442.2925,36.89886
442.7746,36.95642
443.2567,33.95782
443.7388,28.56891
444.2209,19.04181
444.7031,12.00751
445.1852,12.52417
445.6673,17.01813
446.1494,19.37817
446.6315,14.83459
447.1136,10.65527
447.5958,10.12048
448.0779,14.5047
448.56,16.42249
449.0421,12.30518
449.5242,7.183472
450.0063,5.725769
450.4885,13.74323
450.9706,16.22852
451.4527,8.884521
451.9348,6.403503
452.4169,17.22687
452.899,24.11578
453.3812,25.69379
453.8633,17.90234
454.3454,1.828979
454.8275,10.54895
455.3096,3.875183
455.7917,10.72083
456.2739,20.46674
456.756,25.44421
457.2381,26.42023
457.7202,21.3493
458.2023,12.39435
458.6844,7.266724
459.1666,6.394165
459.6487,6.322388
460.1308,3.671814
460.6129,0.795044
461.095,5.609375
461.5771,12.71686
462.0592,17.76166
462.5414,13.79407
463.0235,2.547058
463.5056,5.25708
463.9877,0.705566
464.4698,8.259705
464.9519,15.34784
465.4341,19.18225
465.9162,21.0531
466.3983,19.37738
466.8804,16.10449
467.3625,15.28394
467.8446,20.73669
468.3268,25.98663
468.8089,28.35663
469.291,26.62769
469.7731,26.8515
470.2552,30.8595
470.7373,35.5257
471.2195,37.03619
471.7016,31.24176
472.1837,31.59131
472.6658,42.90979
473.1479,62.43622
473.63,74.63501
474.1122,78.42151
474.5943,78.58484
475.0764,75.56012
475.5585,69.77246
476.0406,72.94238
476.5227,88.20862
477.0049,107.8206
477.487,119.7752
477.9691,125.0338
478.4512,129.4472
478.9333,135.5361
479.4154,142.6782
479.8976,150.3384
480.3797,158.5175
480.8618,166.1714
481.3439,173.7264
481.826,179.8004
482.3081,182.1484
482.7903,173.9107
483.2724,168.8566
483.7545,175.6071
484.2366,191.882
484.7187,209.4904
485.2008,227.3176
485.683,244.2012
486.1651,259.7995
486.6472,275.2156
487.1293,286.8515
487.6114,288.5151
488.0935,288.3077
488.5757,297.0165
489.0578,321.8112
489.5399,344.6603
490.022,361.0613
490.5041,371.3895
490.9862,383.6721
491.4684,396.8348
491.9505,414.2578
492.4326,439.4106
492.9147,472.9026
493.3968,507.4703
493.8789,543.4361
494.3611,578.7298
494.8432,605.6198
495.3253,625.2634
495.8074,650.4704
496.2895,693.7377
496.7716,745.8031
497.2538,789.4096
497.7359,822.9758
498.218,854.7927
498.7001,891.4722
499.1822,930.6071
499.6643,968.4166
500.1465,1001.216
500.6286,1035.186
501.1107,1073.339
501.5928,1115.632
502.0749,1162.152
502.557,1218.621
503.0392,1275.643
503.5213,1328.641
504.0034,1377.216
504.4855,1422.475
504.9676,1459.979
505.4497,1496.245
505.9318,1540.087
506.4139,1595.374
506.8961,1649.581
507.3782,1702.845
507.8603,1754.797
508.3424,1801.703
