WavwNum_Gaspeite,value_Gaspeite
438.5804,0.219498
439.0625,0.333351
439.5446,0.405674
440.0268,0.15675
440.5089,0.167503
440.991,1.268955
441.4731,2.491386
441.9552,2.884331
442.4373,2.198997
442.9195,1.453667
443.4016,1.074688
443.8837,0.957039
444.3658,0.973057
444.8479,1.235901
445.33,1.475128
445.8122,1.577847
446.2943,1.552212
446.7764,1.585739
447.2585,1.800083
447.7406,1.985046
448.2227,2.043285
448.7049,2.003868
449.187,1.761551
449.6691,1.068302
450.1512,0.296921
450.6333,0.112381
451.1154,0.874908
451.5976,1.439892
452.0797,1.445847
452.5618,0.935459
453.0439,0.568874
453.526,0.355423
454.0081,0.297722
454.4903,0.438461
454.9724,0.774021
455.4545,1.163662
455.9366,1.639839
456.4187,2.054184
456.9008,1.999767
457.383,1.557941
457.8651,1.324329
458.3472,1.832901
458.8293,2.652756
459.3114,3.06617
459.7935,3.0625
460.2757,2.708275
460.7578,1.649513
461.2399,0.395046
461.722,0.315136
462.2041,0.096061997
462.6862,0.365517
463.1684,0.747211
463.6505,1.038185
464.1326,1.199417
464.6147,1.040871
465.0968,0.8965
465.5789,0.96843
466.0611,1.340832
466.5432,1.588669
467.0253,1.460796
467.5074,1.22398
467.9895,1.101921
468.4716,1.192513
468.9538,1.269241
469.4359,1.374752
469.918,1.424088
470.4001,1.26104
470.8822,0.765602
471.3643,0.287884
471.8465,0.081078
472.3286,0.352207
472.8107,0.366272
473.2928,0.071941003
473.7749,0.33448
474.257,0.678619
474.7392,0.963936
475.2213,1.099236
475.7034,0.986111
476.1855,0.765331
476.6676,0.69986
477.1497,0.786793
477.6319,0.996075
478.114,1.577068
478.5961,2.185867
479.0782,2.095844
479.5603,1.207977
480.0424,0.352348
480.5246,0.22731
481.0067,0.552143
481.4888,0.93272
481.9709,1.334557
482.453,1.656612
482.9352,1.822651
483.4173,1.835529
483.8994,1.82383
484.3815,1.804363
484.8636,1.682861
485.3457,1.355835
485.8279,0.638775
486.31,0.234795
486.7921,0.426594
487.2742,0.835159
487.7563,1.147598
488.2384,1.407055
488.7206,1.473061
489.2027,1.17683
489.6848,0.690392
490.1669,0.796932
490.649,1.778748
491.1311,2.509586
491.6133,2.232441
492.0954,0.972702
492.5775,0.456013
493.0596,0.807961
493.5417,1.376766
494.0238,1.351963
494.506,0.88768
494.9881,0.71751
495.4702,1.105759
495.9523,1.72226
496.4344,2.155006
496.9165,2.440243
497.3987,2.661659
497.8808,2.951473
498.3629,3.107002
498.845,2.761963
