WavwNum_Lepidocrocite,value_Lepidocrocite
699.439,0.1246
699.9211,0.047038
700.4033,0.140244
700.8854,0.328501
701.3675,0.411342
701.8496,0.425439
702.3317,0.424744
702.8138,0.405744
703.296,0.386801
703.7781,0.41688
704.2602,0.432536
704.7423,0.355571
705.2244,0.00054799998
705.7065,0.01234
706.1887,0.012909
706.6708,0.106485
707.1529,0.080215998
707.635,0.069807999
708.1171,0.012618
708.5992,0.028175
709.0814,0.087782003
709.5635,0.117873
710.0456,0.101726
710.5277,0.033558998
711.0098,0.176992
711.4919,0.409533
711.9741,0.592237
712.4562,0.7123
712.9383,0.728207
713.4204,0.52423
713.9025,0.307761
714.3846,0.15513
714.8668,0.064866997
715.3489,0.039278999
715.831,0.072043002
716.3131,0.145805
716.7952,0.307736
717.2773,0.544183
717.7595,0.667019
718.2416,0.671315
718.7237,0.632987
719.2058,0.593534
719.6879,0.558406
720.17,0.524212
720.6522,0.487338
721.1343,0.508295
721.6164,0.714339
722.0985,0.932631
722.5806,1.02071
723.0627,0.892118
723.5449,0.79333
724.027,0.7471
724.5091,0.723718
724.9912,0.686581
725.4733,0.621888
725.9554,0.634474
726.4376,0.749885
726.9197,0.893471
727.4018,0.996306
727.8839,1.045205
728.366,0.974081
728.8481,0.700201
729.3303,0.458076
729.8124,0.481674
730.2945,0.66021
730.7766,0.824674
731.2587,0.982857
731.7408,1.056042
732.223,0.963019
732.7051,0.78025
733.1872,0.704151
733.6693,0.777097
734.1514,0.837763
734.6335,0.850686
735.1157,0.826246
735.5978,0.768327
736.0799,0.685251
736.562,0.648276
737.0441,0.760973
737.5262,0.880287
738.0084,0.792116
738.4905,0.561321
738.9726,0.408549
739.4547,0.488187
739.9368,0.609426
740.4189,0.720064
740.9011,0.810271
741.3832,0.810482
741.8653,0.68427
742.3474,0.52987
742.8295,0.365991
743.3116,0.202927
743.7938,0.152157
744.2759,0.216438
744.758,0.296927
745.2401,0.330194
745.7222,0.333854
746.2043,0.326251
746.6865,0.310007
747.1686,0.308895
747.6507,0.367081
