WavwNum_Spinel,value_Spinel
398.9797,1208.845
399.4618,1268.019
399.9439,1329.977
400.4261,1394.67
400.9082,1465.292
401.3903,1544.612
401.8724,1627.165
402.3545,1709.956
402.8366,1792.008
403.3188,1875.039
403.8009,1961.792
404.283,2048.386
404.7651,2127.264
405.2472,2200.993
405.7293,2257.938
406.2115,2296.515
406.6936,2316.921
407.1757,2303.327
407.6578,2254.634
408.1399,2174.529
408.622,2060.209
409.1042,1912.242
409.5863,1754.024
410.0684,1585.081
410.5505,1415.262
411.0326,1257.945
411.5147,1112.577
411.9969,981.4921
412.479,864.9819
412.9611,762.2946
413.4432,674.4843
413.9253,601.8151
414.4074,539.7525
414.8896,484.9686
415.3717,436.7233
415.8538,393.7366
416.3359,356.8612
416.818,324.3861
417.3001,295.8282
417.7823,270.7504
418.2644,248.4286
418.7465,228.0954
419.2286,209.8175
419.7107,193.9808
420.1928,181.6054
420.675,170.102
421.1571,158.4835
421.6392,146.9123
422.1213,136.1295
422.6034,126.1042
423.0855,117.1276
423.5677,109.5113
424.0498,103.8693
424.5319,97.68329
425.014,89.7222
425.4961,81.58246
425.9782,74.84747
426.4604,70.05942
426.9425,65.9198
427.4246,62.422
427.9067,59.46521
428.3888,56.60181
428.8709,53.95316
429.3531,51.20029
429.8352,48.1037
430.3173,44.66354
430.7994,41.00043
431.2815,36.92511
431.7636,32.92786
432.2458,30.07462
432.7279,28.4455
433.21,26.61844
433.6921,23.74167
434.1742,20.33109
434.6563,18.65182
435.1385,18.75684
435.6206,19.04779
436.1027,17.89471
436.5848,15.79138
437.0669,14.14542
437.549,13.34384
438.0312,12.85056
438.5133,11.80579
438.9954,10.54184
439.4775,9.981842
439.9596,11.66895
440.4417,13.47842
440.9239,12.85736
441.406,9.723419
441.8881,4.720673
442.3702,5.640594
442.8523,6.12439
443.3344,6.181702
443.8166,4.854156
444.2987,5.087708
444.7808,4.572693
445.2629,3.95993
445.745,4.244446
446.2271,2.769928
446.7093,2.877899
447.1914,4.78418
447.6735,2.937134
448.1556,1.735504
448.6377,1.450073
449.1198,1.567841
449.602,1.536499
450.0841,1.155334
450.5662,1.392853
451.0483,2.786133
451.5304,4.892883
452.0125,5.670319
452.4947,4.787201
452.9768,3.571838
453.4589,2.643982
453.941,2.004822
454.4231,1.863586
454.9052,2.34671
455.3874,2.876953
455.8695,2.587891
456.3516,1.593414
456.8337,0.742859
457.3158,0.302795
457.7979,0.135803
458.2801,0.095886
458.7622,0.16861
459.2443,0.18988
459.7264,0.036285002
460.2085,0.33316
460.6906,0.409424
461.1728,0.155151
461.6549,0.02713
462.137,0.324249
462.6191,0.890533
463.1012,1.1828
463.5833,0.742218
464.0655,0.25061
464.5476,0.166473
