WavwNum_Corundum,value_Corundum
338.5261,179.7227
339.0082,132.0615
339.4903,100.375
339.9724,70.58203
340.4546,41.63477
340.9367,21.26953
341.4188,9.771484
341.9009,7.045898
342.383,18.71973
342.8651,47.43457
343.3473,67.04004
343.8294,57.23535
344.3115,20.69824
344.7936,5.746094
345.2757,20.22754
345.7578,26.55566
346.24,31.82617
346.7221,35.62207
347.2042,31.28613
347.6863,15.82031
348.1684,10.39551
348.6505,51.0459
349.1327,109.9932
349.6148,166.71
350.0969,196.4141
350.579,202.3789
351.0611,197.9033
351.5432,185.3711
352.0254,167.0996
352.5075,141.0859
352.9896,105.3857
353.4717,81.17188
353.9538,96.24902
354.4359,136.7627
354.9181,174.9199
355.4002,206.2568
355.8823,225.9482
356.3644,226.4727
356.8465,208.1553
357.3286,185.3613
357.8108,165.2148
358.2929,146.6211
358.775,127.79
359.2571,95.08691
359.7392,73.20898
360.2213,79.2334
360.7035,111.8818
361.1856,150.7949
361.6677,215.7334
362.1498,268.7686
362.6319,277.9434
363.114,157.7451
363.5962,69.80078
364.0783,75.69141
364.5604,163.2588
365.0425,243.8164
365.5246,309.793
366.0067,359.9307
366.4889,388.4639
366.971,358.2012
367.4531,348.5537
367.9352,381.8193
368.4173,446.1074
368.8994,488.3096
369.3815,478.8389
369.8636,471.8584
370.3458,490.7012
370.8279,549.1729
371.31,609.4375
371.7921,664.7148
372.2742,723.0117
372.7563,800.6602
373.2385,891.0547
373.7206,1004.673
374.2027,1141.358
374.6848,1296.44
375.1669,1488.553
375.649,1700.198
376.1312,1964.042
376.6133,2345.514
377.0954,2860.681
377.5775,3440.573
378.0596,4152.354
378.5417,4972.203
379.0239,5492.058
379.506,5708.584
379.9881,5622.719
380.4702,5128.184
380.9523,4232.228
381.4344,3346.174
381.9166,2556.62
382.3987,1887.089
382.8808,1372.581
383.3629,1020.231
383.845,771.25
384.3271,601.7393
384.8093,497.3145
385.2914,419.8311
385.7735,363.8193
386.2556,324.0771
386.7377,289.1025
387.2198,261.3164
387.702,259.7295
388.1841,342.5625
388.6662,446.2959
389.1483,481.749
389.6304,399.292
390.1125,288.9238
390.5947,206.0869
391.0768,147.9199
391.5589,107.4834
392.041,92.2373
392.5231,86.71973
393.0052,79.11426
393.4874,64.63867
393.9695,54.97559
394.4516,54.00293
394.9337,60.69434
395.4158,73.26367
395.8979,97.43555
396.3801,121.5674
396.8622,137.0801
397.3443,136.1055
397.8264,151.8174
398.3085,211.9131
398.7906,282.4912
399.2728,321.9004
399.7549,288.9482
400.237,270.4619
400.7191,279.4922
401.2012,316.4775
401.6833,380.4707
402.1655,477.9453
402.6476,595.2959
403.1297,724.9922
403.6118,881.3428
404.0939,1016.809
404.576,1119.449
405.0582,1195.382
405.5403,1268.695
406.0224,1333.743
406.5045,1408.488
406.9866,1503.413
407.4688,1618.332
407.9509,1757.076
408.433,1921.786
408.9151,2109.146
409.3972,2304.601
409.8793,2506.97
410.3615,2749.766
410.8436,3049.976
411.3257,3408.601
411.8078,3805.238
412.2899,4228.275
412.772,4747.295
413.2542,5359.121
413.7363,6112.156
414.2184,7169.598
414.7005,8577.298
415.1826,10331.74
415.6647,12552.17
416.1469,15228.33
416.629,17939.61
417.1111,21247.6
417.5932,24160.82
418.0753,25296.05
418.5574,23358.24
419.0396,20320.38
419.5217,16611.08
420.0038,12431.25
420.4859,8862.12
420.968,6468.629
421.4501,4770.164
421.9323,3506.564
422.4144,2788.449
422.8965,2237.34
423.3786,1814.276
423.8607,1510.899
424.3428,1296.556
424.825,1213.655
425.3071,1178.251
425.7892,1164.03
426.2713,1172.754
426.7534,1196.51
427.2355,1220.463
427.7177,1268.43
428.1998,1383.412
428.6819,1601.711
429.164,1805.684
429.6461,1976.864
430.1282,2111.602
430.6104,2170.274
431.0925,2149.401
431.5746,2059.837
432.0567,1888.872
432.5388,1633.521
433.0209,1400.206
433.5031,1212.745
433.9852,1060.249
434.4673,918.4678
434.9494,787.8809
435.4315,653.2275
435.9136,479.7197
436.3958,295.4355
436.8779,176.7998
437.36,145.3232
437.8421,155.376
438.3242,170.3467
438.8063,188.4141
439.2885,204.1982
439.7706,203.1973
440.2527,205.5107
440.7348,242.5
441.2169,322.334
441.699,373.8916
442.1812,332.0938
442.6633,248.1309
443.1454,182.6328
443.6275,154.8711
444.1096,147.8975
444.5917,166.6777
445.0739,208.3223
445.556,236.4219
446.0381,233.6436
446.5202,221.9395
447.0023,214.1201
447.4844,204.3223
447.9666,207.0703
448.4487,218.7305
448.9308,243.4756
449.4129,302.0449
449.895,443.416
450.3771,536.0518
450.8593,510.1816
451.3413,336.2744
451.8235,222.4902
452.3056,185.793
452.7877,184.1689
453.2698,152.4863
453.7519,87.28516
454.234,51.28516
454.7162,81.58203
455.1983,152.043
455.6804,154.8047
456.1625,86.1582
456.6446,9.542969
457.1267,27.32812
457.6089,30.71484
458.091,15.84473
458.5731,22.9043
459.0552,62.46582
459.5373,73.49902
460.0194,61.49512
460.5016,44.70312
460.9837,25.63672
461.4658,11.09668
461.9479,11.5957
462.43,32.45312
462.9121,45.09863
463.3943,26.58496
463.8764,3.353516
464.3585,25.61328
464.8406,31.00195
465.3227,31.69434
465.8048,32.64551
466.287,33.98535
466.7691,29.40332
467.2512,13.06836
467.7333,6.450195
468.2154,23.98145
468.6975,44.7832
469.1797,56.58984
469.6618,57.02539
470.1439,49.93945
470.626,48.91113
471.1081,64.7959
471.5902,73.5498
472.0724,60.5127
472.5545,23.44531
473.0366,1.407227
473.5187,3.477539
474.0008,1.02832
474.4829,10.77734
474.9651,24.67383
475.4472,27.52246
475.9293,8.095703
476.4114,20.2666
476.8935,29.82324
477.3756,21.31152
477.8578,6.529297
478.3399,8.257813
478.822,23.46094
479.3041,41.24512
479.7862,65.79883
480.2683,83.77832
480.7505,74.125
481.2326,50.54102
481.7147,41.82129
482.1968,84.88086
482.6789,124.7949
483.161,124.4258
483.6432,74.40039
484.1253,42.90332
484.6074,63.48047
485.0895,100.8633
485.5716,124.6289
486.0537,126.1621
486.5359,120.0215
487.018,102.7754
487.5001,78.1543
487.9822,63.48242
488.4643,60.30566
488.9464,64.9707
489.4286,78.3584
489.9107,103.5244
490.3928,123.2959
490.8749,141.1162
491.357,148.0537
491.8391,122.5293
492.3213,65.19141
492.8034,18.67969
493.2855,1.200195
493.7676,0.507813
494.2497,20.31348
494.7318,57.53809
495.214,84.82617
495.6961,62.4248
496.1782,18.13672
496.6603,4.020508
497.1424,43.08496
497.6245,86.81738
498.1067,94.37012
498.5888,77.03418
499.0709,61.67188
499.553,56.45508
500.0351,58.39551
500.5172,67.58008
500.9994,84.47949
501.4815,99.91602
501.9636,115.0391
502.4457,125.3643
502.9278,127.1826
503.4099,105.9824
503.8921,95.05176
504.3742,105.541
504.8563,129.8906
505.3384,133.207
505.8205,103.4443
506.3026,77.24023
506.7848,78.31934
507.2669,114.2686
507.749,123.6367
508.2311,101.5049
508.7132,65.06152
509.1953,28.58691
509.6775,6.380859
510.1596,20.14648
510.6417,6.953125
511.1238,49.87891
511.6059,50.57324
512.088,12.96387
512.5701,15.02832
513.0522,4.788086
513.5344,35.89551
514.0165,110.2354
514.4986,241.3418
514.9807,337.0
515.4628,318.3086
515.9449,230.2197
516.4271,148.502
516.9092,88.22949
517.3913,47.9668
517.8734,32.56836
518.3555,43.09375
518.8376,55.30762
519.3198,85.30566
519.8019,103.248
520.284,87.08789
520.7661,0.583008
521.2482,46.51562
521.7303,36.28516
522.2125,7.691406
522.6946,36.44922
523.1767,49.62988
523.6588,50.06445
524.1409,29.55469
524.623,6.051758
525.1052,5.87793
525.5873,34.87695
526.0694,71.64551
526.5515,34.87988
527.0336,41.12695
527.5157,51.67871
527.9979,54.72949
528.48,174.748
528.9621,197.1084
529.4442,145.6826
529.9263,90.35352
530.4084,53.76758
530.8906,36.44824
531.3727,43.98535
531.8548,79.0957
532.3369,111.6787
532.819,130.0791
533.3011,144.085
533.7833,160.6787
534.2654,188.0693
534.7475,200.5186
535.2296,190.5947
535.7117,165.9912
536.1938,152.5439
536.676,152.9814
537.1581,154.0322
537.6402,148.7725
538.1223,135.9463
538.6044,142.9395
539.0865,178.2012
539.5687,209.292
540.0508,184.835
540.5329,114.4404
541.015,72.52637
541.4971,91.61035
541.9792,131.2139
542.4614,115.3994
542.9435,57.77148
543.4256,21.45215
543.9077,77.6875
544.3898,154.2627
544.8719,174.5771
545.3541,122.5205
545.8362,72.12988
546.3183,57.19434
546.8004,65.21289
547.2825,80.2793
547.7646,111.6807
548.2468,129.0752
548.7289,120.5068
549.211,92.98242
549.6931,74.01465
550.1752,63.36328
550.6573,59.77148
551.1395,63.41699
551.6216,77.94336
552.1037,108.7061
552.5858,155.7197
553.0679,196.1504
553.55,194.9717
554.0322,154.2607
554.5143,119.5352
554.9964,101.4854
555.4785,95.14355
555.9606,96.48242
556.4427,103.7637
556.9249,106.3525
557.407,91.0498
557.8891,71.3291
558.3712,59.46973
558.8533,55.8916
559.3354,67.05176
559.8176,111.4756
560.2997,165.7012
560.7818,206.0703
561.2639,226.4004
561.746,231.332
562.2281,211.9346
562.7103,176.6719
563.1924,153.541
563.6745,134.7256
564.1566,132.7793
564.6387,156.0859
565.1208,208.2197
565.603,264.0801
566.0851,334.2656
566.5672,383.7061
567.0493,361.8203
567.5314,272.2861
568.0135,202.1807
568.4957,174.0684
568.9778,167.4189
569.4599,144.8926
569.942,113.8271
570.4241,104.6719
570.9063,162.4395
571.3884,236.0811
571.8705,265.1855
572.3526,247.25
572.8347,244.6826
573.3168,294.7188
573.799,371.6807
574.2811,454.3623
574.7632,557.9189
575.2453,640.8252
575.7274,672.5156
576.2095,683.9854
576.6917,741.8584
577.1738,909.9648
577.6559,1018.722
578.138,1011.794
578.6201,894.9209
579.1022,762.6602
579.5844,612.4814
580.0665,474.4014
580.5486,368.7754
581.0307,292.0557
581.5128,228.167
581.9949,176.0176
582.4771,132.7109
582.9592,101.9824
583.4413,80.2334
583.9234,55.49121
584.4055,1.108398
584.8876,46.25
585.3698,24.89062
585.8519,54.21484
586.334,113.6572
586.8161,111.3291
587.2982,88.52344
587.7803,65.22656
588.2625,37.92676
588.7446,25.97266
589.2267,46.30859
589.7088,71.25098
590.1909,65.24219
590.673,4.701172
591.1552,18.46484
591.6373,27.29102
592.1194,110.0625
592.6015,125.3691
593.0836,68.62012
593.5657,18.49121
594.0479,28.28223
594.53,75.61426
595.0121,98.41699
595.4942,94.66797
